,都道府県,森林計画区
0,北海道,胆振東部森林計画区
1,北海道,留萌森林計画区
2,北海道,上川北部森林計画区
3,北海道,渡島檜山森林計画区
4,北海道,宗谷森林計画区
5,北海道,網走西部森林計画区
6,北海道,石狩空知森林計画区
7,北海道,網走東部森林計画区
8,北海道,日高森林計画区
9,北海道,後志胆振森林計画区
10,北海道,十勝森林計画区
11,北海道,上川南部森林計画区
12,北海道,釧路根室森林計画区
13,青森県,東青森林計画区
14,青森県,下北森林計画区
15,青森県,三八上北森林計画区
16,青森県,津軽森林計画区
17,岩手県,北上川中流森林計画区
18,岩手県,大槌・気仙川森林計画区
19,岩手県,北上川上流森林計画区
20,岩手県,久慈・閉伊川森林計画区
21,岩手県,馬淵川上流森林計画区
22,宮城県,宮城南部森林計画区
23,宮城県,宮城北部森林計画区
24,秋田県,雄物川森林計画区
25,秋田県,子吉川森林計画区
26,秋田県,米代川森林計画区
27,山形県,庄内森林計画区
28,山形県,最上村山森林計画区
29,山形県,置賜森林計画区
30,福島県,磐城森林計画区
31,福島県,阿武隈川森林計画区
32,福島県,会津森林計画区
33,福島県,奥久慈森林計画区
34,茨城県,八溝多賀森林計画区
35,茨城県,霞ヶ浦森林計画区
36,茨城県,水戸那珂森林計画区
37,栃木県,鬼怒川森林計画区
38,栃木県,渡良瀬川森林計画区
39,栃木県,那珂川森林計画区
40,群馬県,西毛森林計画区
41,群馬県,利根下流森林計画区
42,群馬県,利根上流森林計画区
43,群馬県,吾妻森林計画区
44,埼玉県,埼玉森林計画区
45,千葉県,千葉北部森林計画区
46,千葉県,千葉南部森林計画区
47,東京都,多摩森林計画区
48,東京都,伊豆諸島森林計画区
49,神奈川県,神奈川森林計画区
50,新潟県,上越森林計画区
51,新潟県,中越森林計画区
52,新潟県,下越森林計画区
53,新潟県,佐渡森林計画区
54,富山県,神通川森林計画区
55,富山県,庄川森林計画区
56,石川県,能登森林計画区
57,石川県,加賀森林計画区
58,福井県,越前森林計画区
59,福井県,若狭森林計画区
60,山梨県,富士川中流森林計画区
61,山梨県,富士川上流森林計画区
62,山梨県,山梨東部森林計画区
63,長野県,伊那谷森林計画区
64,長野県,千曲川上流森林計画区
65,長野県,中部山岳森林計画区
66,長野県,千曲川下流森林計画区
67,長野県,木曽谷森林計画区
68,岐阜県,飛騨川森林計画区
69,岐阜県,揖斐川森林計画区
70,岐阜県,長良川森林計画区
71,岐阜県,木曽川森林計画区
72,岐阜県,宮・庄川森林計画区
73,静岡県,静岡森林計画区
74,静岡県,天竜森林計画区
75,静岡県,富士森林計画区
76,静岡県,伊豆森林計画区
77,愛知県,尾張西三河森林計画区
78,愛知県,東三河森林計画区
79,三重県,伊賀森林計画区
80,三重県,尾鷲熊野森林計画区
81,三重県,北伊勢森林計画区
82,三重県,南伊勢森林計画区
83,滋賀県,湖南森林計画区
84,滋賀県,湖北森林計画区
85,京都府,由良川森林計画区
86,京都府,淀川上流森林計画区
87,大阪府,大阪森林計画区
88,兵庫県,揖保川森林計画区
89,兵庫県,円山川森林計画区
90,兵庫県,加古川森林計画区
91,奈良県,吉野森林計画区
92,奈良県,大和・木津川森林計画区
93,奈良県,北山・十津川森林計画区
94,和歌山県,紀南森林計画区
95,和歌山県,紀中森林計画区
96,和歌山県,紀北森林計画区
97,鳥取県,天神川森林計画区
98,鳥取県,日野川森林計画区
99,鳥取県,千代川森林計画区
100,島根県,高津川森林計画区
101,島根県,斐伊川森林計画区
102,島根県,隠岐森林計画区
103,島根県,江の川下流森林計画区
104,岡山県,高梁川下流森林計画区
105,岡山県,吉井川森林計画区
106,岡山県,旭川森林計画区
107,広島県,江の川上流森林計画区
108,広島県,瀬戸内森林計画区
109,広島県,太田川森林計画区
110,広島県,高梁川上流森林計画区
111,山口県,岩徳森林計画区
112,山口県,萩森林計画区
113,山口県,豊田森林計画区
114,山口県,山口森林計画区
115,徳島県,吉野川森林計画区
116,徳島県,那賀・海部川森林計画区
117,香川県,香川森林計画区
118,愛媛県,肱川森林計画区
119,愛媛県,南予森林計画区
120,愛媛県,東予森林計画区
121,愛媛県,今治松山森林計画区
122,愛媛県,中予山岳森林計画区
123,高知県,四万十川森林計画区
124,高知県,安芸森林計画区
125,高知県,高知森林計画区
126,高知県,嶺北仁淀森林計画区
127,福岡県,遠賀川森林計画区
128,福岡県,福岡森林計画区
129,福岡県,筑後・矢部川森林計画区
130,佐賀県,佐賀西部森林計画区
131,佐賀県,佐賀東部森林計画区
132,長崎県,長崎北部森林計画区
133,長崎県,五島壱岐森林計画区
134,長崎県,長崎南部森林計画区
135,長崎県,対馬森林計画区
136,熊本県,球磨川森林計画区
137,熊本県,白川・菊池川森林計画区
138,熊本県,緑川森林計画区
139,熊本県,天草森林計画区
140,大分県,大分北部森林計画区
141,大分県,大分中部森林計画区
142,大分県,大分南部森林計画区
143,大分県,大分西部森林計画区
144,宮崎県,一ツ瀬川森林計画区
145,宮崎県,五ヶ瀬川森林計画区
146,宮崎県,大淀川森林計画区
147,宮崎県,広渡川森林計画区
148,宮崎県,耳川森林計画区
149,鹿児島県,奄美大島森林計画区
150,鹿児島県,熊毛森林計画区
151,鹿児島県,北薩森林計画区
152,鹿児島県,大隅森林計画区
153,鹿児島県,姶良森林計画区
154,鹿児島県,南薩森林計画区
155,沖縄県,宮古八重山森林計画区
156,沖縄県,沖縄北部森林計画区
157,沖縄県,沖縄中南部森林計画区
